SA1,SA2
"194,8","194,8"
"192,7","192,7"
"190,5","190,5"
"188,7","188,7"
"186,6","186,6"
"184,5","184,5"
"182,5","182,5"
"180,5",180
"178,4","178,4"
"176,4","176,4"
"174,4","174,4"
"172,5","172,5"
"170,6","170,6"
"168,7","168,7"
"166,9","166,9"
