SA21,SA22
"-1,07","0,31"
"-1,01","0,27"
"-0,93","0,29"
"-0,98","0,33"
"-1,06","0,29"
"-1,11","0,24"
"-1,13","0,29"
"-1,08","0,27"
"-1,03","0,33"
"-0,93","0,32"
"-0,82","0,27"
"-0,83","0,29"
"-0,92","0,28"
"-0,99","0,29"
"-1,03","0,27"
"-0,94","0,3"
"-0,69","0,26"
"-0,46","0,25"
"-0,46","0,28"
"-0,56","0,25"
"-0,77","0,23"
"-0,89","0,26"
"-0,94","0,25"
"-0,95","0,22"
-1,"0,28"
"-1,01","0,24"
"-1,02","0,25"
"-1,02","0,25"
"-0,97","0,24"
"-0,96","0,26"
"-0,97","0,23"
"-0,98","0,24"
"-1,01","0,23"
"-0,95","0,21"
"-0,95","0,24"
-1,"0,23"
"-1,05","0,3"
"-1,02","-0,08"
"-1,01","-0,13"
"-0,87","-0,12"
"-0,7","0,1"
"-0,48","0,17"
"-0,24","0,18"
"-0,2","0,23"
"-0,17","0,23"
"-0,25","0,26"
"-0,34","0,28"
"-0,49","0,31"
"-0,59","0,28"
"-0,69","0,29"
"-0,7","0,29"
"-0,75","0,26"
"-0,78","0,27"
"-0,76","0,29"
"-0,63","0,29"
"-0,74","0,28"
"-0,75","0,29"
"-0,58","0,27"
"-0,5","0,31"
"-0,34","0,33"
"-0,21","0,29"
"-0,14","0,35"
"-0,09","0,39"
"-0,08","0,36"
"-0,06","0,35"
"-0,1","0,42"
"-0,13","0,3"
"-0,29","0,39"
"-0,33","0,33"
"-0,38","0,46"
"-0,39","0,4"
"-0,42","0,42"
"-0,48","0,36"
"-0,46","0,36"
"-0,22","0,33"
"-0,19","0,35"
"-0,2","0,36"
"-0,11","0,33"
"-0,05","0,36"
"-0,04","0,36"
"-0,01","0,38"
"-0,01","0,37"
"-0,02","0,35"
"-0,09","0,35"
"-0,2","0,28"
"-0,51","0,34"
"-0,63","0,33"
"-0,66","0,3"
"-0,44","0,42"
"-0,19","0,37"
"-0,05","0,42"
"-0,04","0,44"
"-0,16","0,31"
"-0,37","0,2"
"-0,43","0,01"
"-0,58","-0,15"
"-0,41","-0,15"
"-0,13","0,03"
"-0,02","0,1"
"0,03","0,12"
"0,03","0,15"
"0,01","0,18"
"0,01","0,23"
"0,01","0,23"
"0,01","0,25"
"-0,01","0,25"
0,"0,25"
"0,01","0,24"
"0,01","0,27"
0,"0,25"
"0,01","0,26"
