SA21,SA22
"-0,02","0,27"
"-0,02","0,25"
"0,01","0,28"
"-0,01","0,3"
0,"0,32"
0,"0,57"
"-0,02","0,59"
0,"0,57"
"0,01","0,55"
"-0,03","0,37"
0,"-0,11"
"-0,01","-0,09"
"-0,02","-0,07"
"-0,01","-0,27"
"-0,01","-0,31"
"-0,01","-0,29"
"-0,16","-0,14"
"-0,28","-0,16"
"-0,37","-0,1"
"-0,4","0,02"
"-0,4","-0,01"
"-0,34","-0,02"
"-0,4","0,03"
"-0,4",0
"-0,38","0,03"
"-0,39","0,01"
"-0,36","0,04"
"-0,35","0,05"
"-0,35","0,03"
"-0,33","0,06"
"-0,4","0,06"
"-0,38","0,07"
"-0,37","0,09"
"-0,37","0,11"
"-0,36","0,08"
"-0,38","0,08"
"-0,37","0,11"
"-0,35","0,14"
"-0,35","0,15"
"-0,4","0,16"
"-0,41","0,18"
"-0,4","0,19"
"-0,47","0,2"
"-0,45","0,2"
"-0,48","0,19"
"-0,46","0,2"
"-0,51","0,19"
"-0,48","0,19"
"-0,54","0,18"
"-0,82","0,2"
"-0,9","0,12"
"-0,73","0,17"
"-0,87","0,16"
"-0,93","0,14"
"-0,92","0,13"
"-0,84","0,19"
"-0,89","0,2"
"-0,83","0,21"
"-0,56","0,21"
"-0,49","0,28"
"-0,5","0,25"
"-0,48","0,27"
"-0,51","0,24"
"-0,5","0,29"
"-0,52","0,32"
"-0,53","0,33"
"-0,56","0,33"
"-0,58","0,32"
"-0,75","0,31"
"-0,79","0,3"
"-0,91","0,29"
"-0,94","0,26"
"-1,01","0,26"
"-1,1","0,29"
"-1,03","0,39"
"-1,02","0,4"
"-1,01","0,4"
"-1,11","0,37"
"-1,02","0,36"
"-0,96","0,38"
"-0,96","0,4"
"-0,78","0,42"
"-0,72","0,38"
"-0,62","0,41"
"-0,57","0,39"
"-0,65","0,4"
"-0,79","0,4"
"-0,83","0,39"
"-0,93","0,39"
"-0,97","0,34"
"-0,79","0,3"
"-0,68","0,34"
"-0,67","0,32"
"-0,51","0,43"
"-0,54","0,38"
"-0,63","0,32"
"-0,55","0,34"
"-0,44","0,29"
"-0,56","0,33"
"-0,57","0,34"
"-0,61","0,35"
"-0,65","0,27"
"-0,68","-0,2"
"-0,79","-0,29"
"-0,94","-0,3"
"-1,01","-0,29"
"-1,1","-0,26"
"-1,1","-0,29"
"-1,13","-0,24"
"-1,35","-0,18"
"-1,17","-0,06"
"-1,16","-0,04"
"-1,17","0,08"
"-1,13","0,12"
"-0,9","0,22"
"-0,91","0,28"
"-0,72","0,34"
"-0,66","0,36"
"-0,65","0,39"
"-0,54","0,32"
"-0,62","0,35"
"-0,56","0,32"
"-0,33","0,33"
"-0,21","0,35"
"-0,11","0,36"
"-0,06","0,35"
"-0,01","0,29"
0,"-0,17"
"0,02","-0,12"
"-0,04","-0,19"
0,"0,07"
"-0,07","0,17"
"-0,07","0,2"
"-0,03","0,13"
"0,01","0,2"
"0,23","0,25"
"0,4","0,22"
"0,53","0,3"
"0,64","0,32"
"0,4","0,24"
"0,42","0,27"
"0,26","0,34"
"-0,31","0,25"
"-0,53","0,26"
"-0,3","0,16"
"-0,31","0,32"
"-0,24","0,25"
"-0,04","0,14"
"-0,01","0,3"
"-0,02","0,21"
0,"0,21"
"-0,04","0,21"
"-0,03","0,3"
"-0,03","0,24"
"-0,05","0,29"
"-0,01","-0,89"
"-0,07","-1,16"
"0,01","-1,11"
"0,01","-1,19"
"-0,01","-1,23"
"-0,29","-1,12"
"-0,39","-1,28"
"-0,43","-1,19"
"-0,45","-1,24"
"-0,58","-1,26"
"-0,59","-1,31"
"-0,49","-1,19"
"-0,34","-1,32"
"-0,29","-1,36"
"-0,23","-1,35"
"-0,12","-1,27"
"-0,16","-1,29"
"-0,04","-1,35"
"-0,04","-1,36"
"-0,07","-1,32"
"-0,04","-1,17"
"0,01","-1,12"
"0,33","-1,19"
"0,25","-1,29"
"0,47","-1,23"
"0,42","-1,1"
"0,26","-1,21"
"0,21","-1,13"
"0,09","-1,06"
"0,07","-1,24"
"0,02","-1,15"
"-0,02","-1,18"
"-0,02","-1,13"
"-0,02","-1,11"
0,"-1,08"
"-0,03","-1,06"
"-0,01","-1,11"
0,"-1,09"
0,"-1,04"
"-0,04","-1,09"
"-0,01","-1,05"
0,"-0,97"
"-0,01",-1
"0,1","-0,95"
"0,28","-0,58"
"0,53","-0,14"
"0,88","-0,12"
"0,9","0,16"
"1,03","-0,1"
"0,95","0,06"
"0,62","0,15"
"0,3","0,13"
"0,23","0,19"
"0,28","0,13"
"0,57","0,09"
"0,89","0,05"
"0,98","0,08"
"0,98","0,1"
"1,11","0,04"
"1,05","0,01"
"0,92","0,13"
"0,61","0,14"
"0,51","0,1"
"0,34","0,12"
"0,07","0,2"
"0,03","0,14"
"-0,02","0,12"
"-0,01","0,17"
"0,02","0,24"
0,"0,19"
0,"0,24"
"0,01","0,21"
"-0,05","0,19"
"-0,24","-0,03"
"-0,31","-0,04"
"-0,52","-0,14"
"-0,49","-0,12"
"-0,57","-0,14"
"-0,58","-0,07"
"-0,65","-0,05"
"-0,84","-0,12"
"-0,54","-0,07"
"-0,63","-0,18"
"-0,84","-0,07"
"-0,65","-0,1"
"-0,83","-0,01"
"-0,9","0,1"
"-0,72","0,15"
"-0,68","0,2"
"-0,46","0,25"
"-0,24","0,25"
"-0,08","0,38"
"-0,26","0,45"
"-0,37","0,46"
"-0,4","0,53"
"-0,32","0,57"
"-0,21","0,62"
"-0,11","0,47"
"-0,1","0,62"
"-0,16","0,56"
"-0,17","0,55"
"-0,06","0,74"
"-0,02","0,92"
"-0,09","0,88"
"-0,03","-0,19"
"-0,03","-0,03"
"-0,03","-0,06"
"0,02","0,39"
"-0,01","0,43"
"0,04","0,51"
"0,19","0,58"
"0,23","0,6"
"0,27","0,68"
"0,34","0,68"
"0,36","0,71"
"0,34","0,69"
"0,15","0,61"
"0,09","0,69"
"0,07","0,71"
"-0,03","0,68"
"-0,02","0,64"
"-0,04","0,64"
"0,03","0,64"
"0,02","0,71"
"-0,03","0,59"
"-0,03","0,62"
"-0,05","0,62"
"-0,01","0,69"
"-0,01","0,53"
"-0,01","0,56"
"-0,04","0,57"
"-0,04","0,57"
"-0,03","0,57"
0,"0,59"
"0,02","0,53"
"-0,01","-0,11"
"-0,02","-0,1"
"0,01","-0,16"
0,"0,27"
"-0,03","0,28"
"0,02","0,36"
"0,02","0,37"
0,"0,45"
"-0,01","0,37"
"0,03","0,52"
"-0,01","0,39"
"0,04","0,45"
"0,02","0,46"
"-0,01","0,44"
"-0,03","0,48"
"-0,03","0,37"
"0,02","0,46"
"0,02","0,45"
"-0,02","0,47"
0,"0,46"
"-0,01","0,41"
"-0,01","0,39"
"-0,01","-0,37"
"0,01","-1,35"
"-0,07","-1,39"
"-0,06","-1,36"
"-0,07","-1,36"
"-0,06","-1,38"
"-0,05","-1,42"
"-0,1","-1,34"
"-0,09","-1,34"
"-0,06","-1,35"
0,"-1,17"
"-0,06","-1,24"
"-0,04","-1,22"
"-0,29","-1,12"
"-0,69","-0,67"
"-1,08","-0,26"
"-1,32","-0,36"
"-1,38","-0,23"
"-1,45","-0,13"
"-1,63","-0,3"
"-1,46","-0,14"
"-1,36","-0,12"
"-1,33","-0,13"
"-1,23","-0,2"
"-0,57","-0,19"
"-0,22","-0,15"
"-0,37","-0,12"
"-0,78","-0,13"
"-1,02","-0,14"
"-0,98","-0,17"
"-1,17","-0,18"
"-1,36","-0,14"
"-1,37","-0,12"
"-1,31","-0,14"
"-1,36","-0,23"
"-1,41","-0,18"
"-1,43","-0,15"
"-1,48","-0,1"
"-1,44","-0,06"
"-1,31","0,06"
"-1,12",0
"-0,77",0
"-0,55","-0,04"
"-0,39",0
"-0,23","0,02"
"-0,2","0,02"
"-0,26","0,01"
"-0,28","0,03"
"-0,51","0,07"
"-0,49","0,06"
"-0,69","0,05"
"-0,99","0,03"
-1,"0,01"
"-1,06","0,02"
"-1,11","-0,02"
"-1,07","0,04"
"-1,07","0,14"
"-1,07","0,12"
"-1,03","0,22"
"-0,83","0,2"
"-0,76","0,3"
"-0,62","0,29"
"-0,58","0,34"
"-0,64","0,48"
"-0,62","0,39"
"-0,5","0,44"
"-0,29","0,36"
"-0,11","0,35"
"-0,04","0,44"
"0,21","0,46"
"0,17","0,41"
"0,15","0,45"
"0,05","0,4"
"-0,02","0,57"
"0,02","0,48"
"-0,02","0,56"
"-0,03","0,58"
"-0,02","0,58"
"-0,03","0,52"
"-0,04","0,56"
"-0,04","0,55"
"-0,04","0,7"
"-0,03","0,72"
"-0,13","0,67"
"-0,13","0,65"
"-0,26","0,71"
"-0,38","0,67"
"-0,26","0,55"
"-0,24","0,6"
"-0,16","0,57"
"-0,14","-0,08"
"-0,05","-0,02"
0,"-0,01"
"-0,07","0,18"
"-0,01","0,32"
"-0,03","0,38"
0,"0,38"
"0,01","0,41"
"-0,01","0,42"
"0,01","0,45"
"0,01","0,44"
"-0,01","0,48"
"-0,02","0,47"
"0,02","0,51"
"-0,05","0,49"
0,"0,47"
"-0,07","0,55"
0,"-0,28"
"-0,01","-1,17"
"0,03","-1,25"
"-0,02","-1,28"
"-0,02","-1,38"
"-0,01","-1,31"
"-0,01","-1,26"
"-0,03","-1,29"
"-0,03","-1,32"
"-0,02","-1,28"
"-0,04","-1,36"
"-0,1","-1,34"
"-0,22","-1,27"
"-0,46","-1,21"
"-0,76","-1,08"
"-0,95","-1,1"
"-0,99","-1,14"
"-0,88","-1,02"
"-1,2","-1,04"
"-1,19","-0,99"
"-1,29","-0,96"
"-1,28","-0,7"
"-1,44","-0,28"
"-1,53","-0,17"
"-1,51","-0,11"
"-1,62","-0,08"
"-1,51","-0,13"
"-1,6","-0,05"
"-1,42","0,01"
"-1,07","0,04"
"-0,35","0,07"
"-0,11","0,13"
"-0,16","0,03"
"-0,2","0,02"
"-0,18","0,07"
"-0,28","0,07"
"-0,24","0,05"
"-0,2","0,06"
"-0,24","0,09"
"-0,23","0,12"
"-0,25","0,16"
"-0,27","0,17"
"-0,23","0,14"
"-0,24","0,17"
"-0,26","0,2"
"-0,26","0,17"
"-0,25","0,27"
"-0,22","0,2"
"-0,23","0,26"
"-0,24","0,2"
"-0,22","0,22"
"-0,28","0,26"
"-0,26","0,27"
"-0,17","0,3"
"-0,06","0,31"
"-0,05","0,32"
"-0,02","0,36"
"0,01","0,45"
"-0,02","0,51"
"-0,02","0,56"
"-0,02","0,53"
"-0,02","0,56"
"0,02","0,58"
"-0,01","0,53"
"-0,03","0,82"
"-0,01","0,73"
0,"0,59"
"-0,02","0,76"
0,"0,64"
"-0,06","0,7"
"-0,02","0,71"
"-0,02","0,62"
"-0,05","0,74"
"-0,05","0,58"
"-0,19","0,35"
"-0,17","0,31"
"-0,2","0,36"
"-0,19","0,32"
"-0,09","0,34"
"0,03","0,43"
"-0,07","0,65"
"-0,09","0,61"
0,"0,58"
"-0,02","0,63"
"-0,01","0,63"
"-0,04","0,55"
0,"0,61"
0,"-0,06"
"0,01","-0,04"
"0,03","-0,12"
"0,01","0,23"
0,"0,28"
"0,02","0,3"
"0,01","0,39"
"0,04","0,45"
"0,04","0,52"
0,"0,63"
"0,03","0,53"
"0,2","0,29"
"0,2","0,39"
"0,22","0,49"
"0,37","0,49"
"0,4","0,49"
"0,44","0,5"
"0,27","0,52"
"0,08","0,37"
"0,04","0,41"
"-0,14","0,4"
"-0,16","0,37"
"-0,25","0,42"
"-0,18","0,41"
"-0,07","0,35"
"-0,03","0,38"
"-0,03","0,42"
"-0,01","0,42"
0,"0,46"
0,"0,38"
"0,04","0,39"
"0,02","0,46"
"0,01","0,4"
0,"0,35"
"-0,01","0,42"
"-0,01","0,38"
"0,26","0,33"
"0,52","0,35"
"0,63","0,41"
"0,45","0,35"
"0,28","0,42"
"0,12","0,37"
"0,18","0,32"
"0,41","0,36"
"0,48","0,32"
"0,38","0,38"
"0,38","-0,08"
"0,69","-0,13"
"0,95","-0,12"
"0,84","0,06"
"0,75","0,11"
"0,91","0,2"
"0,79","0,23"
"0,32","0,27"
"0,32","0,28"
"0,18","0,28"
"0,08","0,36"
"-0,02","0,31"
"0,01","0,29"
"0,2","0,39"
"0,2","0,33"
"0,19","0,28"
"0,33","0,35"
"0,13","0,32"
"0,09","0,35"
0,"0,33"
"-0,02","0,31"
"0,73","0,25"
"0,81","0,31"
"0,86","0,29"
"0,86","0,32"
"0,98","0,32"
"0,42","0,32"
"-0,12","0,37"
"-0,71","0,29"
"-0,9","0,33"
"-0,62","0,31"
"-0,54","0,31"
"-0,27","0,3"
"-0,03","0,3"
"0,04","0,3"
"0,05","0,28"
"0,08","0,24"
"0,03","0,3"
0,"0,26"
